1001,Yong Ning No. 1 Blade Cultivator
1002,Yong Ning No. 1 Spear Cultivator
1003,Yong Ning No. 1 Sword Cultivator
1004,Yong Ning No. 1 Fist Cultivator
1005,Yong Ning No. 1 Palm Cultivator
1006,Yong Ning No. 1 Finger Cultivator
1007,Yong Ning No. 1 Fire Cultivator
1008,Yong Ning No. 1 Water Cultivator
1009,Yong Ning No. 1 Lightning Cultivator
1010,Yong Ning No. 1 Wind Cultivator
1011,Yong Ning No. 1 Earth Cultivator
1012,Yong Ning No. 1 Wood Cultivator
1101,Hua Feng No. 1 Blade Cultivator
1102,Hua Feng No. 1 Spear Cultivator
1103,Hua Feng No. 1 Sword Cultivator
1104,Hua Feng No. 1 Fist Cultivator
1105,Hua Feng No. 1 Palm Cultivator
1106,Hua Feng No. 1 Finger Cultivator
1107,Hua Feng No. 1 Fire Cultivator
1108,Hua Feng No. 1 Water Cultivator
1109,Hua Feng No. 1 Lightning Cultivator
1110,Hua Feng No. 1 Wind Cultivator
1111,Hua Feng No. 1 Earth Cultivator
1112,Hua Feng No. 1 Wood Cultivator
1201,Yun Mo No. 1 Blade Cultivator
1202,Yun Mo No. 1 Spear Cultivator
1203,Yun Mo No. 1 Sword Cultivator
1204,Yun Mo No. 1 Fist Cultivator
1205,Yun Mo No. 1 Palm Cultivator
1206,Yun Mo No. 1 Finger Cultivator
1207,Yun Mo No. 1 Fire Cultivator
1208,Yun Mo No. 1 Water Cultivator
1209,Yun Mo No. 1 Lightning Cultivator
1210,Yun Mo No. 1 Wind Cultivator
1211,Yun Mo No. 1 Earth Cultivator
1212,Yun Mo No. 1 Wood Cultivator
1301,Mu Xian No. 1 Blade Cultivator
1302,Mu Xian No. 1 Spear Cultivator
1303,Mu Xian No. 1 Sword Cultivator
1304,Mu Xian No. 1 Fist Cultivator
1305,Mu Xian No. 1 Palm Cultivator
1306,Mu Xian No. 1 Finger Cultivator
1307,Mu Xian No. 1 Fire Cultivator
1308,Mu Xian No. 1 Water Cultivator
1309,Mu Xian No. 1 Lightning Cultivator
1310,Mu Xian No. 1 Wind Cultivator
1311,Mu Xian No. 1 Earth Cultivator
1312,Mu Xian No. 1 Wood Cultivator
1401,World No. 1 Blade Cultivator
1402,World No. 1 Spear Cultivator
1403,World No. 1 Sword Cultivator
1404,World No. 1 Fist Cultivator
1405,World No. 1 Palm Cultivator
1406,World No. 1 Finger Cultivator
1407,World No. 1 Fire Cultivator
1408,World No. 1 Water Cultivator
1409,World No. 1 Lightning Cultivator
1410,World No. 1 Wind Cultivator
1411,World No. 1 Earth Cultivator
1412,World No. 1 Wood Cultivator
1501,Charmer Disciple
1502,Charmer Priest
1503,Charmer Sage
1504,Charmer Sovereign
1505,Charmer Deity
1601,Yong Ning Champion
1602,Hua Feng Champion
1603,Yun Mo Champion
1604,Mu Xian Champion
1605,Chi You Champion
1606,World Champion
1701,Benefactor Disciple
1702,Benefactor Priest
1703,Benefactor Sage
1704,Benefactor Sovereign
1705,Benefactor Deity
1801,Fashion Connoisseur
1802,Fashion Connoisseuse
1901,Carefree Disciple
1902,Carefree Priest
1903,Carefree Sage
1904,Carefree Sovereign
1905,Carefree Deity
2001,Elixir Priest
2002,Elixir Sage
2003,Elixir Sovereign
2004,Elixir Deity
2101,Forge Priest
2102,Forge Sage
2103,Forge Sovereign
2104,Forge Deity